title,user_score,year,duration,country,usa_gross,world_gross
an actor prepares,52.0,2018,97,USA,1743,5891
medeas,63.0,2013,97,"USA, Italy",5895,5895
the vagrant,59.0,1992,91,"France, USA",5900,5900
slash,58.0,2016,100,USA,5902,5902
gang of ghosts,36.0,2014,128,India,5906,5906
waiting for dublin,46.0,2007,83,Belgium,5925,5925
american animal,44.0,2011,95,USA,5928,5928
cavemen,53.0,2013,88,USA,5948,5948
the playroom,53.0,2012,83,USA,5964,5964
"sex, death and bowling",54.0,2015,92,USA,5972,5972
rat,59.0,2000,89,"Ireland, UK, USA",2630,5980
bearcity,60.0,2010,104,USA,6000,6000
love object,63.0,2003,88,USA,6028,6028
the family tree,54.0,2011,87,"Australia, USA",6035,6035
the bounceback,51.0,2013,91,USA,6047,6047
die marquise von o...,72.0,1976,102,"West Germany, France",6048,6048
los condenados,55.0,2012,91,Puerto Rico,3718,6090
a última vez que vi macau,64.0,2012,82,"Portugal, France, Macao",6095,6095
the last fall,55.0,2012,98,USA,6100,6100
rangrezz,51.0,2013,144,India,6108,6108
arise from darkness,76.0,2016,90,USA,6112,6112
welcome to pine hill,62.0,2012,81,USA,6115,6115
missing link,61.0,1988,91,USA,6127,6127
relaxer,59.0,2018,91,USA,6133,6133
crazy eyes,40.0,2012,95,USA,6141,6141
sweetwater,62.0,2013,95,USA,6147,6147
by the sword,65.0,1991,91,USA,6220,6220
one last thing,62.0,2018,91,USA,6232,6232
tarantella,51.0,1995,100,USA,6235,6235
vsichni moji blízcí,73.0,1999,91,"Czech Republic, Slovakia, Poland",6237,6237
under the eiffel tower,52.0,2018,87,USA,6291,6291
dast-neveshtehaa nemisoosand,72.0,2013,125,Iran,6295,6295
watercolors,64.0,2008,114,USA,6305,6305
the charnel house,44.0,2016,90,USA,6332,6332
inescapable,52.0,2012,93,"Canada, South Africa",6334,6334
dreamland,64.0,2006,88,USA,6383,6383
100 bloody acres,60.0,2012,91,Australia,6388,6388
nuit et jour,64.0,1991,92,"Belgium, France, Switzerland",6397,6397
ten 'til noon,55.0,2006,83,USA,6404,6404
some velvet morning,58.0,2013,84,USA,6420,6420
the suicide theory,65.0,2014,98,Australia,6434,6434
scum,76.0,1979,98,UK,6461,6461
centigrade,39.0,2020,98,USA,6480,6480
1732 høtten,58.0,1998,100,Norway,6509,6509
we go way back,61.0,2006,80,USA,6529,6529
dream boy,62.0,2008,88,USA,6534,6534
pretty ugly people,50.0,2008,99,USA,6537,6537
elizabeth blue,55.0,2017,95,USA,6542,6542
in our nature,57.0,2012,103,USA,6543,6543
down the shore,59.0,2011,93,USA,6558,6558
human capital,62.0,2019,98,USA,6596,6596
sweet country,49.0,1987,150,"Greece, USA",6614,6614
take,59.0,2007,98,USA,6627,6627
breakfast with curtis,67.0,2012,84,USA,6629,6629
the loner,48.0,2016,103,USA,6634,6634
ghost team,46.0,2016,83,USA,6639,6639
o encantado,64.0,2015,125,"Portugal, France, Germany, Switzerland",4502,6681
der mann aus dem eis,63.0,2017,96,"Germany, Italy, Austria",2138,6719
le fantôme de la liberté,79.0,1974,104,"France, Italy",6172,6749
the other lamb,50.0,2019,96,"Ireland, Belgium, USA",6024,6760
mercy,61.0,2009,87,USA,6780,6780
finding bliss,53.0,2009,96,USA,6783,6783
"no god, no master",59.0,2013,94,USA,6796,6796
janie jones,66.0,2010,114,USA,6840,6840
pursuit of happiness,57.0,2001,93,USA,6850,6850
the sisterhood of night,62.0,2014,104,USA,6870,6870
duck butter,53.0,2018,93,USA,6877,6877
sal,48.0,2011,103,USA,6883,6883
misconceptions,45.0,2008,95,USA,6892,6892
black irish,70.0,2007,95,USA,6900,6900
a kind of loving,73.0,1962,113,UK,6912,6912
seul contre tous,74.0,1998,93,France,6955,6955
gabriel,64.0,2014,85,USA,6959,6959
fathers & sons,49.0,1992,109,USA,6960,6960
what we found,48.0,2020,110,USA,6976,6976
good neighbours,58.0,2010,99,Canada,7072,7072
stage fright,52.0,2014,89,Canada,7078,7078
painless,54.0,2017,81,USA,7082,7082
the dark below,42.0,2015,75,USA,7095,7095
mendy,56.0,2003,90,USA,7123,7123
"sorry, haters",62.0,2005,83,USA,7129,7129
logan,61.0,2010,94,USA,7137,7137
"brutti, sporchi e cattivi",78.0,1976,115,Italy,7144,7144
it had to be you,54.0,2015,85,USA,7162,7162
abcs of death 2,54.0,2014,125,"USA, New Zealand, Canada, Israel, Japan, Nigeria",7171,7171
l'étrange couleur des larmes de ton corps,60.0,2013,102,"Belgium, France, Luxembourg",7182,7182
kettle of fish,52.0,2006,97,USA,7196,7196
happiness runs,50.0,2010,88,USA,7199,7199
wake,66.0,2003,90,USA,7212,7212
century,60.0,1993,112,UK,7271,7271
another wolfcop,49.0,2017,82,Canada,7285,7285
guest artist,49.0,2019,74,USA,7296,7296
a piece of eden,59.0,2000,106,USA,7296,7296
beloved beast,32.0,2018,173,USA,7301,7301
sparkler,55.0,1997,96,USA,7326,7326
the amazing truth about queen raquela,59.0,2008,80,"Iceland, Philippines, France, Thailand",5597,7328
desperate acts of magic,51.0,2013,86,USA,7373,7373
khamosh pani: silent waters,76.0,2003,99,"Pakistan, France, Germany",7384,7384
the giant mechanical man,67.0,2012,95,"USA, Poland",7396,7396
price check,54.0,2012,92,USA,7413,7413
raze,52.0,2013,87,USA,7429,7429
udaan,82.0,2010,134,India,7461,7461
disappearances,50.0,2006,118,USA,7506,7506
girls against boys,48.0,2012,93,USA,7529,7529
area 51,42.0,2015,91,USA,7556,7556
a business affair,55.0,1994,102,"UK, France, Germany, Spain",7556,7556
shan zhong zhuan qi,74.0,1979,192,"Taiwan, Hong Kong, South Korea",7640,7640
hurensohn,58.0,2004,86,"Austria, Luxembourg",7656,7656
